season,week,team,arm,team_game,actual_team_targets,pred_team_targets,budget_error,budget_crps
2022,3,CLE,Q8_BUDGET_SHRINK,2022-3-CLE,31,30.7309,-0.2691,1.89101
2022,3,DAL,BASELINE,2022-3-DAL,30,37.8571,7.8571,4.59258
2022,3,DAL,Q8_BUDGET_SHRINK,2022-3-DAL,30,36.3763,6.3763,3.83095
2022,3,DEN,BASELINE,2022-3-DEN,32,33.4915,1.4915,1.67007
2022,3,DEN,Q8_BUDGET_SHRINK,2022-3-DEN,32,33.52,1.52,1.70081
2022,3,DET,BASELINE,2022-3-DET,37,33.4737,-3.5263,2.32603
2022,3,DET,Q8_BUDGET_SHRINK,2022-3-DET,37,33.5083,-3.4917,2.37459
2022,3,GB,BASELINE,2022-3-GB,34,32.3143,-1.6857,1.85947
2022,3,GB,Q8_BUDGET_SHRINK,2022-3-GB,34,32.7498,-1.2502,1.86718
2022,3,HOU,BASELINE,2022-3-HOU,31,33.4915,2.4915,2.17358
2022,3,HOU,Q8_BUDGET_SHRINK,2022-3-HOU,31,33.52,2.52,2.19001
2022,3,IND,BASELINE,2022-3-IND,36,31.8571,-4.1429,2.99845
2022,3,IND,Q8_BUDGET_SHRINK,2022-3-IND,36,32.4507,-3.5493,2.73862
2022,3,JAX,BASELINE,2022-3-JAX,38,34.9444,-3.0556,2.55516
2022,3,JAX,Q8_BUDGET_SHRINK,2022-3-JAX,38,34.4706,-3.5294,2.70723
2022,3,KC,BASELINE,2022-3-KC,33,37.7429,4.7429,2.38499
2022,3,KC,Q8_BUDGET_SHRINK,2022-3-KC,33,36.3016,3.3016,2.05157
2022,3,LA,BASELINE,2022-3-LA,25,35.4286,10.4286,6.55743
2022,3,LA,Q8_BUDGET_SHRINK,2022-3-LA,25,34.7874,9.7874,5.83694
2022,3,LAC,BASELINE,2022-3-LAC,41,38.8947,-2.1053,1.87414
2022,3,LAC,Q8_BUDGET_SHRINK,2022-3-LAC,41,37.0552,-3.9448,2.26901
2022,3,LV,BASELINE,2022-3-LV,41,33.4915,-7.5085,5.11953
2022,3,LV,Q8_BUDGET_SHRINK,2022-3-LV,41,33.52,-7.48,5.19871
2022,3,MIA,BASELINE,2022-3-MIA,20,33.4915,13.4915,8.62919
2022,3,MIA,Q8_BUDGET_SHRINK,2022-3-MIA,20,33.52,13.52,8.64789
2022,3,MIN,BASELINE,2022-3-MIN,37,33.4915,-3.5085,2.39206
2022,3,MIN,Q8_BUDGET_SHRINK,2022-3-MIN,37,33.52,-3.48,2.37454
2022,3,NE,BASELINE,2022-3-NE,32,28.8,-3.2,2.65969
