game,market,player,displayed_selection,team,position,line_0452Z,over_0452Z,under_0452Z,line_1635Z,over_1635Z,under_1635Z,selection_price_0452Z,selection_price_1635Z,market_status_1635Z,book_line_timestamp_1635Z,retrieved_0452Z,retrieved_1635Z,delta_status
CAR@ATL,Player Receiving Yards,Jahan Dotson,Jahan Dotson,ATL,WR,17.5,-115,-115,17.5,-115,-115,,,open_two_sided,2026-09-20T13:32:05.903058Z,2026-09-20T04:52:08Z,2026-09-20T16:35:34Z,UNCHANGED
CAR@ATL,Player Receiving Yards,Jalen Coker,Jalen Coker,CAR,WR,50.5,-115,-115,50.5,-120,-110,,,open_two_sided,2026-09-20T16:35:04.521982Z,2026-09-20T04:52:08Z,2026-09-20T16:35:34Z,"CHANGED(over_price,under_price)"
CAR@ATL,Player Receiving Yards,Jonathon Brooks,Jonathon Brooks,CAR,RB,8.5,-110,-120,6.5,-115,-115,,,open_two_sided,2026-09-20T16:10:03.984992Z,2026-09-20T04:52:08Z,2026-09-20T16:35:34Z,"CHANGED(line,over_price,under_price)"
CAR@ATL,Player Receiving Yards,Kyle Pitts,Kyle Pitts,ATL,TE,31.5,-115,-115,31.5,-120,-110,,,open_two_sided,2026-09-20T16:23:03.017245Z,2026-09-20T04:52:08Z,2026-09-20T16:35:34Z,"CHANGED(over_price,under_price)"
CAR@ATL,Player Receiving Yards,Olamide Zaccheaus,Olamide Zaccheaus,ATL,WR,8.5,-115,-115,8.5,-115,-115,,,open_two_sided,2026-09-20T13:32:05.903058Z,2026-09-20T04:52:08Z,2026-09-20T16:35:34Z,UNCHANGED
CAR@ATL,Player Receiving Yards,Tetairoa McMillan,Tetairoa McMillan,CAR,WR,58.5,-115,-115,59.5,-115,-115,,,open_two_sided,2026-09-20T12:55:39.957897Z,2026-09-20T04:52:08Z,2026-09-20T16:35:34Z,CHANGED(line)
CAR@ATL,Player Receiving Yards,Tommy Tremble,Tommy Tremble,CAR,TE,13.5,-115,-115,13.5,-120,-110,,,open_two_sided,2026-09-20T15:26:06.653372Z,2026-09-20T04:52:08Z,2026-09-20T16:35:34Z,"CHANGED(over_price,under_price)"
CAR@ATL,Player Receiving Yards,Xavier Legette,Xavier Legette,CAR,WR,16.5,-115,-115,16.5,-115,-115,,,open_two_sided,2026-09-20T13:32:05.903058Z,2026-09-20T04:52:08Z,2026-09-20T16:35:34Z,UNCHANGED
CAR@ATL,Player Receptions,Bijan Robinson,Bijan Robinson,ATL,RB,4.5,-155,120,5.5,120,-160,,,open_two_sided,2026-09-20T14:45:06.765971Z,2026-09-20T04:52:08Z,2026-09-20T16:35:34Z,"CHANGED(line,over_price,under_price)"
CAR@ATL,Player Receptions,Chuba Hubbard,Chuba Hubbard,CAR,RB,2.5,140,-190,2.5,135,-185,,,open_two_sided,2026-09-20T16:35:04.521982Z,2026-09-20T04:52:08Z,2026-09-20T16:35:34Z,"CHANGED(over_price,under_price)"
CAR@ATL,Player Receptions,Darren Waller,Darren Waller,CAR,TE,1.5,-165,125,1.5,-150,115,,,open_two_sided,2026-09-20T16:35:04.521982Z,2026-09-20T04:52:08Z,2026-09-20T16:35:34Z,"CHANGED(over_price,under_price)"
CAR@ATL,Player Receptions,Drake London,Drake London,ATL,WR,4.5,-130,100,4.5,-125,-105,,,open_two_sided,2026-09-20T13:32:05.903058Z,2026-09-20T04:52:08Z,2026-09-20T16:35:34Z,"CHANGED(over_price,under_price)"
CAR@ATL,Player Receptions,Jahan Dotson,Jahan Dotson,ATL,WR,1.5,-150,115,1.5,-145,115,,,open_two_sided,2026-09-20T13:32:05.903058Z,2026-09-20T04:52:08Z,2026-09-20T16:35:34Z,CHANGED(over_price)
CAR@ATL,Player Receptions,Jalen Coker,Jalen Coker,CAR,WR,4.5,-110,-120,4.5,-110,-120,,,open_two_sided,2026-09-20T16:19:31.144132Z,2026-09-20T04:52:08Z,2026-09-20T16:35:34Z,UNCHANGED
CAR@ATL,Player Receptions,Jonathon Brooks,Jonathon Brooks,CAR,RB,1.5,155,-220,1.5,155,-210,,,open_two_sided,2026-09-20T16:35:04.521982Z,2026-09-20T04:52:08Z,2026-09-20T16:35:34Z,CHANGED(under_price)
CAR@ATL,Player Receptions,Kyle Pitts,Kyle Pitts,ATL,TE,3.5,110,-140,3.5,105,-140,,,open_two_sided,2026-09-20T13:32:05.903058Z,2026-09-20T04:52:08Z,2026-09-20T16:35:34Z,CHANGED(over_price)
CAR@ATL,Player Receptions,Olamide Zaccheaus,Olamide Zaccheaus,ATL,WR,1.5,110,-150,1.5,130,-170,,,open_two_sided,2026-09-20T15:21:22.129811Z,2026-09-20T04:52:08Z,2026-09-20T16:35:34Z,"CHANGED(over_price,under_price)"
CAR@ATL,Player Receptions,Tetairoa McMillan,Tetairoa McMillan,CAR,WR,4.5,-110,-120,4.5,-110,-120,,,open_two_sided,2026-09-20T13:32:05.903058Z,2026-09-20T04:52:08Z,2026-09-20T16:35:34Z,UNCHANGED
CAR@ATL,Player Receptions,Tommy Tremble,Tommy Tremble,CAR,TE,1.5,-125,-105,1.5,-120,-110,,,open_two_sided,2026-09-20T15:07:06.670507Z,2026-09-20T04:52:08Z,2026-09-20T16:35:34Z,"CHANGED(over_price,under_price)"
CAR@ATL,Player Receptions,Xavier Legette,Xavier Legette,CAR,WR,1.5,-115,-115,1.5,-110,-120,,,open_two_sided,2026-09-20T15:20:06.445748Z,2026-09-20T04:52:08Z,2026-09-20T16:35:34Z,"CHANGED(over_price,under_price)"
CAR@ATL,Player Rushing + Receiving Yards,Bijan Robinson,Bijan Robinson,ATL,RB,130.5,-115,-115,130.5,-115,-115,,,open_two_sided,2026-09-20T15:58:22.173225Z,2026-09-20T04:52:08Z,2026-09-20T16:35:34Z,UNCHANGED
