season,week,game_id,gsis_id,unit,condition,opportunity_error,efficiency_error,combined_error,same_sign_or_offsetting,predicted_attempts,actual_attempts,predicted_ypa,actual_ypa,predicted_yards,actual_yards
2022,4,2022_04_MIN_NO,00-0029604,QB,COMPOSED,-4.0,0.510111,-11.39306,OFFSETTING,34.0,38,7.69432,7.18421,261.6069,273
2022,4,2022_04_MIN_NO,00-0037500,QB,COMPOSED,26.55056,-5.553464,192.15626,OFFSETTING,27.5506,1,7.44654,13.0,205.1563,13
2022,4,2022_04_MIN_NO,00-0027973,QB,COMPOSED,0.75,-1.511655,-38.86827,OFFSETTING,29.75,29,6.62628,8.13793,197.1317,236
2022,4,2022_04_NE_GB,00-0023459,QB,COMPOSED,-3.5,0.716989,-2.51485,OFFSETTING,31.5,35,7.88842,7.17143,248.4851,251
2022,4,2022_04_NE_GB,00-0026625,QB,COMPOSED,2.75,2.656602,40.2036,SAME_SIGN,8.75,6,8.82327,6.16667,77.2036,37
2022,4,2022_04_NE_GB,00-0038108,QB,COMPOSED,12.55056,0.846536,106.15626,SAME_SIGN,27.5506,15,7.44654,6.6,205.1563,99
2022,4,2022_04_NYJ_PIT,00-0034419,QB,COMPOSED,26.55056,5.446536,203.15626,SAME_SIGN,27.5506,1,7.44654,2.0,205.1563,2
2022,4,2022_04_NYJ_PIT,00-0037013,QB,COMPOSED,-9.5,-0.611968,-82.71717,SAME_SIGN,26.5,36,6.38803,7.0,169.2828,252
2022,4,2022_04_NYJ_PIT,00-0033869,QB,COMPOSED,6.125,0.244395,44.25097,SAME_SIGN,19.125,13,6.70593,6.46154,128.251,84
2022,4,2022_04_NYJ_PIT,00-0038102,QB,COMPOSED,14.55056,-1.784233,85.15626,OFFSETTING,27.5506,13,7.44654,9.23077,205.1563,120
2022,4,2022_04_SEA_DET,00-0033106,QB,COMPOSED,-6.25,-2.513418,-143.89037,SAME_SIGN,33.75,40,6.93658,9.45,234.1096,378
2022,4,2022_04_SEA_DET,00-0035156,QB,COMPOSED,0.0,3.683735,3.68374,ZERO_COMPONENT,1.0,1,9.68374,6.0,9.6837,6
2022,4,2022_04_SEA_DET,00-0030565,QB,COMPOSED,-4.875,-3.368567,-136.63526,SAME_SIGN,25.125,30,7.2981,10.66667,183.3647,320
2022,4,2022_04_TEN_IND,00-0026143,QB,COMPOSED,-4.75,-2.455682,-124.89843,SAME_SIGN,32.25,37,7.16594,9.62162,231.1016,356
2022,4,2022_04_TEN_IND,00-0029701,QB,COMPOSED,6.625,0.972903,70.09667,SAME_SIGN,27.625,21,7.49671,6.52381,207.0967,137
2022,4,2022_04_WAS_DAL,00-0033662,QB,COMPOSED,-9.71429,-0.628813,-91.10229,SAME_SIGN,17.2857,27,7.63045,8.25926,131.8977,223
2022,4,2022_04_WAS_DAL,00-0032950,QB,COMPOSED,-10.25,2.487462,37.48881,OFFSETTING,31.75,42,6.53508,4.04762,207.4888,170
2022,5,2022_05_ATL_TB,00-0032268,QB,COMPOSED,-7.85714,2.109819,-6.14493,OFFSETTING,18.1429,26,7.76367,5.65385,140.8551,147
2022,5,2022_05_ATL_TB,00-0019596,QB,COMPOSED,-12.875,0.806378,-52.9106,OFFSETTING,40.125,53,7.42902,6.62264,298.0894,351
2022,5,2022_05_CHI_MIN,00-0036945,QB,COMPOSED,0.25,-2.37479,-50.47545,OFFSETTING,22.25,22,7.07976,9.45455,157.5246,208
2022,5,2022_05_CHI_MIN,00-0029604,QB,COMPOSED,-7.375,0.460607,-37.75599,OFFSETTING,33.625,41,7.68012,7.21951,258.244,296
2022,5,2022_05_CHI_MIN,00-0036322,QB,COMPOSED,0.0,-14.901732,-14.90173,ZERO_COMPONENT,1.0,1,8.09827,23.0,8.0983,23
2022,5,2022_05_CIN_BAL,00-0034796,QB,COMPOSED,-3.0,2.033082,42.64687,OFFSETTING,29.0,32,7.47058,5.4375,216.6469,174
2022,5,2022_05_CIN_BAL,00-0036442,QB,COMPOSED,2.5,1.543533,73.38249,SAME_SIGN,37.5,35,7.74353,6.2,290.3825,217
2022,5,2022_05_DAL_LA,00-0033662,QB,COMPOSED,2.5,1.3279,40.50364,SAME_SIGN,18.5,16,7.7029,6.375,142.5036,102
2022,5,2022_05_DAL_LA,00-0026498,QB,COMPOSED,-6.5,0.438392,-32.10377,OFFSETTING,35.5,42,7.77172,7.33333,275.8962,308
2022,5,2022_05_DAL_LA,00-0032943,QB,COMPOSED,0.0,-7.035642,-7.03564,ZERO_COMPONENT,1.0,1,4.96436,12.0,4.9644,12
2022,5,2022_05_DAL_LA,00-0033908,QB,COMPOSED,0.0,5.957229,5.95723,ZERO_COMPONENT,1.0,1,5.95723,0.0,5.9572,0
2022,5,2022_05_DET_NE,00-0033106,QB,COMPOSED,0.625,0.468876,20.79301,SAME_SIGN,35.625,35,7.01173,6.54286,249.793,229
2022,5,2022_05_DET_NE,00-0038108,QB,COMPOSED,-6.0,-1.675152,-78.84156,SAME_SIGN,15.0,21,7.27723,8.95238,109.1584,188
2022,5,2022_05_HOU_JAX,00-0036898,QB,COMPOSED,9.125,0.98995,86.02126,SAME_SIGN,33.125,24,6.82328,5.83333,226.0213,140
2022,5,2022_05_HOU_JAX,00-0036971,QB,COMPOSED,-12.125,0.180919,-69.25722,OFFSETTING,33.875,46,6.39831,6.21739,216.7428,286
2022,5,2022_05_IND_DEN,00-0029263,QB,COMPOSED,-8.375,0.556731,-41.78984,OFFSETTING,30.625,39,7.58237,7.02564,232.2102,274
2022,5,2022_05_IND_DEN,00-0026143,QB,COMPOSED,-6.75,0.952009,-10.70195,OFFSETTING,33.25,40,7.22701,6.275,240.298,251
