market_id,market,market_class,player,team,position,selection,line,over_odds,under_odds,selection_price,is_main_line,status,push_rule,odds_id_over,odds_id_under,line_timestamp_utc,retrieved_at_utc,sportsbook,fixture_id,game,kickoff_utc,season_week,source_endpoint,source_page,deep_link
point_spread,Point Spread,game_or_team,,BUF,,Buffalo Bills,-1,,,-250,False,open_single_selection,push on exact line,16341-21473-26-37:hard_rock:point_spread:buffalo_bills_-1,,2026-09-17T17:37:43.467940Z,2026-09-17T21:45:02Z,Hard Rock Bet,202609189BE34D3B,DET @ BUF,2026-09-18T00:15:00Z,2,OpticOdds API v3 GET /fixtures/odds?fixture_id=202609189BE34D3B&sportsbook=Hard Rock,https://app.hardrockbet.com/ (book) via OpticOdds feed,https://share.hardrock.bet/Pt0T/bet?deep_link_value=hardrock://betslip/4935847939391226284
point_spread,Point Spread,game_or_team,,DET,,Detroit Lions,-1,,,210,False,open_single_selection,push on exact line,16341-21473-26-37:hard_rock:point_spread:detroit_lions_-1,,2026-09-17T17:37:43.467940Z,2026-09-17T21:45:02Z,Hard Rock Bet,202609189BE34D3B,DET @ BUF,2026-09-18T00:15:00Z,2,OpticOdds API v3 GET /fixtures/odds?fixture_id=202609189BE34D3B&sportsbook=Hard Rock,https://app.hardrockbet.com/ (book) via OpticOdds feed,https://share.hardrock.bet/Pt0T/bet?deep_link_value=hardrock://betslip/7272442089810559400
point_spread,Point Spread,game_or_team,,BUF,,Buffalo Bills,1,,,-275,False,open_single_selection,push on exact line,16341-21473-26-37:hard_rock:point_spread:buffalo_bills_+1,,2026-09-17T15:23:40.526596Z,2026-09-17T21:45:02Z,Hard Rock Bet,202609189BE34D3B,DET @ BUF,2026-09-18T00:15:00Z,2,OpticOdds API v3 GET /fixtures/odds?fixture_id=202609189BE34D3B&sportsbook=Hard Rock,https://app.hardrockbet.com/ (book) via OpticOdds feed,https://share.hardrock.bet/Pt0T/bet?deep_link_value=hardrock://betslip/3821558875337916840
point_spread,Point Spread,game_or_team,,DET,,Detroit Lions,1,,,190,False,open_single_selection,push on exact line,16341-21473-26-37:hard_rock:point_spread:detroit_lions_+1,,2026-09-17T17:37:43.467940Z,2026-09-17T21:45:02Z,Hard Rock Bet,202609189BE34D3B,DET @ BUF,2026-09-18T00:15:00Z,2,OpticOdds API v3 GET /fixtures/odds?fixture_id=202609189BE34D3B&sportsbook=Hard Rock,https://app.hardrockbet.com/ (book) via OpticOdds feed,https://share.hardrock.bet/Pt0T/bet?deep_link_value=hardrock://betslip/109326144989430188
point_spread,Point Spread,game_or_team,,BUF,,Buffalo Bills,1.5,,,-300,False,open_single_selection,"no push, half-point line",16341-21473-26-37:hard_rock:point_spread:buffalo_bills_+1_5,,2026-09-17T20:56:58.614518Z,2026-09-17T21:45:02Z,Hard Rock Bet,202609189BE34D3B,DET @ BUF,2026-09-18T00:15:00Z,2,OpticOdds API v3 GET /fixtures/odds?fixture_id=202609189BE34D3B&sportsbook=Hard Rock,https://app.hardrockbet.com/ (book) via OpticOdds feed,https://share.hardrock.bet/Pt0T/bet?deep_link_value=hardrock://betslip/4680391805840261539
point_spread,Point Spread,game_or_team,,DET,,Detroit Lions,1.5,,,175,False,open_single_selection,"no push, half-point line",16341-21473-26-37:hard_rock:point_spread:detroit_lions_+1_5,,2026-09-17T17:37:43.467940Z,2026-09-17T21:45:02Z,Hard Rock Bet,202609189BE34D3B,DET @ BUF,2026-09-18T00:15:00Z,2,OpticOdds API v3 GET /fixtures/odds?fixture_id=202609189BE34D3B&sportsbook=Hard Rock,https://app.hardrockbet.com/ (book) via OpticOdds feed,https://share.hardrock.bet/Pt0T/bet?deep_link_value=hardrock://betslip/7235850342838174124
point_spread,Point Spread,game_or_team,,DET,,Detroit Lions,2,,,170,False,open_single_selection,push on exact line,16341-21473-26-37:hard_rock:point_spread:detroit_lions_+2,,2026-09-17T17:37:43.467940Z,2026-09-17T21:45:02Z,Hard Rock Bet,202609189BE34D3B,DET @ BUF,2026-09-18T00:15:00Z,2,OpticOdds API v3 GET /fixtures/odds?fixture_id=202609189BE34D3B&sportsbook=Hard Rock,https://app.hardrockbet.com/ (book) via OpticOdds feed,https://share.hardrock.bet/Pt0T/bet?deep_link_value=hardrock://betslip/966839661538443692
point_spread,Point Spread,game_or_team,,BUF,,Buffalo Bills,2,,,-325,False,open_single_selection,push on exact line,16341-21473-26-37:hard_rock:point_spread:buffalo_bills_+2,,2026-09-17T20:56:58.614518Z,2026-09-17T21:45:02Z,Hard Rock Bet,202609189BE34D3B,DET @ BUF,2026-09-18T00:15:00Z,2,OpticOdds API v3 GET /fixtures/odds?fixture_id=202609189BE34D3B&sportsbook=Hard Rock,https://app.hardrockbet.com/ (book) via OpticOdds feed,https://share.hardrock.bet/Pt0T/bet?deep_link_value=hardrock://betslip/7007433399237476764
point_spread,Point Spread,game_or_team,,DET,,Detroit Lions,2.5,,,160,False,open_single_selection,"no push, half-point line",16341-21473-26-37:hard_rock:point_spread:detroit_lions_+2_5,,2026-09-17T19:21:28.900687Z,2026-09-17T21:45:02Z,Hard Rock Bet,202609189BE34D3B,DET @ BUF,2026-09-18T00:15:00Z,2,OpticOdds API v3 GET /fixtures/odds?fixture_id=202609189BE34D3B&sportsbook=Hard Rock,https://app.hardrockbet.com/ (book) via OpticOdds feed,https://share.hardrock.bet/Pt0T/bet?deep_link_value=hardrock://betslip/8434230056183792044
point_spread,Point Spread,game_or_team,,BUF,,Buffalo Bills,2.5,,,-325,False,open_single_selection,"no push, half-point line",16341-21473-26-37:hard_rock:point_spread:buffalo_bills_+2_5,,2026-09-17T15:23:40.526596Z,2026-09-17T21:45:02Z,Hard Rock Bet,202609189BE34D3B,DET @ BUF,2026-09-18T00:15:00Z,2,OpticOdds API v3 GET /fixtures/odds?fixture_id=202609189BE34D3B&sportsbook=Hard Rock,https://app.hardrockbet.com/ (book) via OpticOdds feed,https://share.hardrock.bet/Pt0T/bet?deep_link_value=hardrock://betslip/1710778024984707491
point_spread,Point Spread,game_or_team,,DET,,Detroit Lions,3,,,140,False,open_single_selection,push on exact line,16341-21473-26-37:hard_rock:point_spread:detroit_lions_+3,,2026-09-17T19:21:28.900687Z,2026-09-17T21:45:02Z,Hard Rock Bet,202609189BE34D3B,DET @ BUF,2026-09-18T00:15:00Z,2,OpticOdds API v3 GET /fixtures/odds?fixture_id=202609189BE34D3B&sportsbook=Hard Rock,https://app.hardrockbet.com/ (book) via OpticOdds feed,https://share.hardrock.bet/Pt0T/bet?deep_link_value=hardrock://betslip/8321217853034463662
point_spread,Point Spread,game_or_team,,BUF,,Buffalo Bills,3,,,-450,False,open_single_selection,push on exact line,16341-21473-26-37:hard_rock:point_spread:buffalo_bills_+3,,2026-09-17T17:25:28.281329Z,2026-09-17T21:45:02Z,Hard Rock Bet,202609189BE34D3B,DET @ BUF,2026-09-18T00:15:00Z,2,OpticOdds API v3 GET /fixtures/odds?fixture_id=202609189BE34D3B&sportsbook=Hard Rock,https://app.hardrockbet.com/ (book) via OpticOdds feed,https://share.hardrock.bet/Pt0T/bet?deep_link_value=hardrock://betslip/9077541115455996334
point_spread,Point Spread,game_or_team,,DET,,Detroit Lions,3.5,,,115,False,open_single_selection,"no push, half-point line",16341-21473-26-37:hard_rock:point_spread:detroit_lions_+3_5,,2026-09-17T19:21:28.900687Z,2026-09-17T21:45:02Z,Hard Rock Bet,202609189BE34D3B,DET @ BUF,2026-09-18T00:15:00Z,2,OpticOdds API v3 GET /fixtures/odds?fixture_id=202609189BE34D3B&sportsbook=Hard Rock,https://app.hardrockbet.com/ (book) via OpticOdds feed,https://share.hardrock.bet/Pt0T/bet?deep_link_value=hardrock://betslip/4356132632669585835
