player,team,position,role,metric,mean,median,q10,q25,q50,q75,q90,sd,p_opportunity_ge_1,forecast_stage,model_health,data_completeness,upstream_blockers,n_draws,written_at,run_id
Najee Harris,NYG,RB,RB2,receiving/targets,1.2732,1.0,0.0,0.0,1.0,2.0,3.0,1.5585,0.5847,PRE_INACTIVES,CLEAN,PARTIAL_PLAYER_COVERAGE,,8000,2026-09-13T23:12:33Z,3dddf9f62c9260b0
Najee Harris,NYG,RB,RB2,rushing/carries,4.791,4.3197,1.4661,2.8151,4.3197,6.3241,8.6246,2.9967,0.9291,PRE_INACTIVES,MODEL_HEALTH_WARNING,PARTIAL_PLAYER_COVERAGE,CARRY_ALLOCATION_HEALTH_WARNING,8000,2026-09-13T23:12:33Z,3dddf9f62c9260b0
Javonte Williams,DAL,RB,RB1,receiving/receptions,1.314,0.0,0.0,0.0,0.0,2.0,4.0,1.9242,0.5132,PRE_INACTIVES,CLEAN,PARTIAL_PLAYER_COVERAGE,,8000,2026-09-13T23:12:33Z,3dddf9f62c9260b0
Javonte Williams,DAL,RB,RB1,receiving/targets,1.7326,1.0,0.0,0.0,1.0,3.0,5.0,2.4245,0.5132,PRE_INACTIVES,CLEAN,PARTIAL_PLAYER_COVERAGE,,8000,2026-09-13T23:12:33Z,3dddf9f62c9260b0
Javonte Williams,DAL,RB,RB1,rushing/carries,7.4201,7.683,0.0,0.0,7.683,12.025,15.9036,6.5644,0.663,PRE_INACTIVES,MODEL_HEALTH_WARNING,PARTIAL_PLAYER_COVERAGE,CARRY_ALLOCATION_HEALTH_WARNING,8000,2026-09-13T23:12:33Z,3dddf9f62c9260b0
Israel Abanikanda,DAL,RB,RB3,receiving/receptions,1.2263,1.0,0.0,0.0,1.0,2.0,3.0,1.6622,0.5972,PRE_INACTIVES,CLEAN,PARTIAL_PLAYER_COVERAGE,,8000,2026-09-13T23:12:33Z,3dddf9f62c9260b0
Israel Abanikanda,DAL,RB,RB3,receiving/targets,1.7674,1.0,0.0,0.0,1.0,3.0,5.0,2.2409,0.5972,PRE_INACTIVES,CLEAN,PARTIAL_PLAYER_COVERAGE,,8000,2026-09-13T23:12:33Z,3dddf9f62c9260b0
Israel Abanikanda,DAL,RB,RB3,rushing/carries,4.7913,3.2787,0.0,1.0326,3.2787,6.3904,12.2255,5.3052,0.7521,PRE_INACTIVES,MODEL_HEALTH_WARNING,PARTIAL_PLAYER_COVERAGE,CARRY_ALLOCATION_HEALTH_WARNING,8000,2026-09-13T23:12:33Z,3dddf9f62c9260b0
Emari Demercado,DAL,RB,RB2,receiving/receptions,0.9414,0.0,0.0,0.0,0.0,1.0,3.0,1.6203,0.4239,PRE_INACTIVES,CLEAN,PARTIAL_PLAYER_COVERAGE,,8000,2026-09-13T23:12:33Z,3dddf9f62c9260b0
Emari Demercado,DAL,RB,RB2,receiving/targets,1.296,0.0,0.0,0.0,0.0,2.0,4.0,2.1037,0.4239,PRE_INACTIVES,CLEAN,PARTIAL_PLAYER_COVERAGE,,8000,2026-09-13T23:12:33Z,3dddf9f62c9260b0
