player,team,opponent,hrb_market_name,line,over_odds,under_odds,sportsbook,retrieval_timestamp_utc,source_url
Bryce Young,CAR,CHI,Interceptions,0.5,+100,-130,Hard Rock Bet,2026-09-13T16:02:32.640Z,https://app.hardrock.bet/competition/nfl/4833624282137493756?tab=player-props
Caleb Williams,CHI,CAR,Pass Completions,20.5,+100,-130,Hard Rock Bet,2026-09-13T16:02:32.640Z,https://app.hardrock.bet/competition/nfl/4833624282137493756?tab=player-props
Bryce Young,CAR,CHI,Pass Completions,19.5,-120,-110,Hard Rock Bet,2026-09-13T16:02:32.640Z,https://app.hardrock.bet/competition/nfl/4833624282137493756?tab=player-props
Caleb Williams,CHI,CAR,Pass Attempts,32.5,-115,-115,Hard Rock Bet,2026-09-13T16:02:32.640Z,https://app.hardrock.bet/competition/nfl/4833624282137493756?tab=player-props
Bryce Young,CAR,CHI,Pass Attempts,30.5,-115,-115,Hard Rock Bet,2026-09-13T16:02:32.640Z,https://app.hardrock.bet/competition/nfl/4833624282137493756?tab=player-props
D'Andre Swift,CHI,CAR,Rushing Attempts,13.5,-120,-110,Hard Rock Bet,2026-09-13T16:02:49.844Z,https://app.hardrock.bet/competition/nfl/4833624282137493756?tab=player-props
Caleb Williams,CHI,CAR,Rushing Attempts,3.5,-135,+105,Hard Rock Bet,2026-09-13T16:02:49.844Z,https://app.hardrock.bet/competition/nfl/4833624282137493756?tab=player-props
Kyle Monangai,CHI,CAR,Rushing Attempts,7.5,-125,-105,Hard Rock Bet,2026-09-13T16:02:49.844Z,https://app.hardrock.bet/competition/nfl/4833624282137493756?tab=player-props
Bryce Young,CAR,CHI,Rushing Attempts,3.5,+115,-150,Hard Rock Bet,2026-09-13T16:02:49.844Z,https://app.hardrock.bet/competition/nfl/4833624282137493756?tab=player-props
Jonathon Brooks,CAR,CHI,Rushing Attempts,7.5,-125,-105,Hard Rock Bet,2026-09-13T16:02:49.844Z,https://app.hardrock.bet/competition/nfl/4833624282137493756?tab=player-props
Chuba Hubbard,CAR,CHI,Rushing Attempts,12.5,-125,-105,Hard Rock Bet,2026-09-13T16:02:49.844Z,https://app.hardrock.bet/competition/nfl/4833624282137493756?tab=player-props
D'Andre Swift,CHI,CAR,Receptions,1.5,-165,+125,Hard Rock Bet,2026-09-13T16:03:19.026Z,https://app.hardrock.bet/competition/nfl/4833624282137493756?tab=player-props
Cole Kmet,CHI,CAR,Receptions,1.5,-120,-110,Hard Rock Bet,2026-09-13T16:03:19.026Z,https://app.hardrock.bet/competition/nfl/4833624282137493756?tab=player-props
Luther Burden III,CHI,CAR,Receptions,4.5,-135,+105,Hard Rock Bet,2026-09-13T16:03:19.026Z,https://app.hardrock.bet/competition/nfl/4833624282137493756?tab=player-props
Rome Odunze,CHI,CAR,Receptions,3.5,+130,-170,Hard Rock Bet,2026-09-13T16:03:19.026Z,https://app.hardrock.bet/competition/nfl/4833624282137493756?tab=player-props
