slate,game_id,player,team,market,metric,model_mean,model_median,hardrock_line,over_odds,under_odds,model_p_over_exact_line,model_p_under_exact_line,hardrock_novig_p_over,hardrock_novig_p_under,selected_side,probability_gap_pp,actual,result,model_written_at,hardrock_retrieved_at,data_status,stratum,refusal_reason
425,2026_01_GB_MIN,Jayden Reed,GB,Receiving Yards,,,,43.5,-115,-115,,,,,,,,,,2026-09-13T18:12:59.575Z,REFUSED,REFUSED,REFUSED:OUTCOME_NOT_PUBLISHED
425,2026_01_GB_MIN,Jordan Addison,MIN,Receiving Yards,,,,42.5,-115,-115,,,,,,,,,,2026-09-13T18:12:59.575Z,REFUSED,REFUSED,REFUSED:OUTCOME_NOT_PUBLISHED
425,2026_01_GB_MIN,Josh Oliver,MIN,Receiving Yards,,,,6.5,-115,-115,,,,,,,,,,2026-09-13T18:12:59.575Z,REFUSED,REFUSED,REFUSED:OUTCOME_NOT_PUBLISHED
425,2026_01_GB_MIN,Justin Jefferson,MIN,Receiving Yards,,,,75.5,-115,-115,,,,,,,,,,2026-09-13T18:12:59.575Z,REFUSED,REFUSED,REFUSED:OUTCOME_NOT_PUBLISHED
425,2026_01_GB_MIN,MarShawn Lloyd,GB,Receiving Yards,,,,10.5,-115,-115,,,,,,,,,,2026-09-13T18:12:59.575Z,REFUSED,REFUSED,REFUSED:OUTCOME_NOT_PUBLISHED
425,2026_01_GB_MIN,Matthew Golden,GB,Receiving Yards,,,,39.5,-115,-115,,,,,,,,,,2026-09-13T18:12:59.575Z,REFUSED,REFUSED,REFUSED:OUTCOME_NOT_PUBLISHED
425,2026_01_GB_MIN,T.J. Hockenson,MIN,Receiving Yards,,,,24.5,-115,-115,,,,,,,,,,2026-09-13T18:12:59.575Z,REFUSED,REFUSED,REFUSED:OUTCOME_NOT_PUBLISHED
425,2026_01_GB_MIN,Tucker Kraft,GB,Receiving Yards,,,,43.5,-120,-110,,,,,,,,,,2026-09-13T18:12:59.575Z,REFUSED,REFUSED,REFUSED:OUTCOME_NOT_PUBLISHED
425,2026_01_GB_MIN,Matthew Golden,GB,Receptions,,,,3.5,-105,-125,,,,,,,,,,2026-09-13T18:13:12.712Z,REFUSED,REFUSED,REFUSED:OUTCOME_NOT_PUBLISHED
425,2026_01_GB_MIN,Jayden Reed,GB,Receptions,,,,3.5,-135,+105,,,,,,,,,,2026-09-13T18:13:12.712Z,REFUSED,REFUSED,REFUSED:OUTCOME_NOT_PUBLISHED
425,2026_01_GB_MIN,MarShawn Lloyd,GB,Receptions,,,,1.5,-160,+125,,,,,,,,,,2026-09-13T18:13:12.712Z,REFUSED,REFUSED,REFUSED:OUTCOME_NOT_PUBLISHED
425,2026_01_GB_MIN,Christian Watson,GB,Receptions,,,,3.5,-165,+125,,,,,,,,,,2026-09-13T18:13:12.712Z,REFUSED,REFUSED,REFUSED:OUTCOME_NOT_PUBLISHED
425,2026_01_GB_MIN,Tucker Kraft,GB,Receptions,,,,4.5,+125,-165,,,,,,,,,,2026-09-13T18:13:12.712Z,REFUSED,REFUSED,REFUSED:OUTCOME_NOT_PUBLISHED
