slate,game_id,player,team,market,metric,model_mean,model_median,hardrock_line,over_odds,under_odds,model_p_over_exact_line,model_p_under_exact_line,hardrock_novig_p_over,hardrock_novig_p_under,selected_side,probability_gap_pp,actual,actual_basis,absence_class,result,model_written_at,hardrock_retrieved_at,data_status,stratum,refusal_reason
1PM,2026_01_NO_DET,Travis Etienne Jr.,NO,Rushing Yards,,,,57.5,-115,-115,,,,,,,,,,,,2026-09-13T16:05:49.495Z,REFUSED,REFUSED,REFUSED:QUOTE_PLAYER_NOT_ON_BOARD
1PM,2026_01_NO_DET,Tyler Shough,NO,Interceptions,qb/int,0.593,0.0,0.5,-120,-110,0.458,0.542,0.510121,0.489879,UNDER,5.2121,2.0,OBSERVED,ZERO_IF_ABSENT,LOSS,2026-09-13T16:13:33.450638Z,2026-09-13T16:02:33.996Z,PARTIAL_PLAYER_COVERAGE,CONTAMINATED_QB3,
1PM,2026_01_NO_DET,Tyler Shough,NO,Pass Attempts,qb/att,29.296,31.0,33.5,-120,-110,0.389,0.611,0.510121,0.489879,UNDER,12.1121,57.0,OBSERVED,ZERO_IF_ABSENT,LOSS,2026-09-13T16:13:33.450638Z,2026-09-13T16:02:33.996Z,PARTIAL_PLAYER_COVERAGE,CONTAMINATED_QB3,
1PM,2026_01_NO_DET,Tyler Shough,NO,Pass Completions,qb/cmp,18.593,19.0,21.5,-115,-115,0.384,0.616,0.5,0.5,UNDER,11.6,35.0,OBSERVED,ZERO_IF_ABSENT,LOSS,2026-09-13T16:13:33.450638Z,2026-09-13T16:02:33.996Z,PARTIAL_PLAYER_COVERAGE,CONTAMINATED_QB3,
1PM,2026_01_NO_DET,Tyler Shough,NO,Passing TDs,qb/ptd,1.309,1.0,1.5,+125,-165,0.383,0.617,0.416503,0.583497,UNDER,3.3503,3.0,OBSERVED,ZERO_IF_ABSENT,LOSS,2026-09-13T16:13:33.450638Z,2026-09-13T16:02:33.996Z,PARTIAL_PLAYER_COVERAGE,CONTAMINATED_QB3,
1PM,2026_01_NO_DET,Tyler Shough,NO,Passing Yards,qb/pyds,210.9679,213.2857,241.5,-115,-115,0.392,0.608,0.5,0.5,UNDER,10.8,410.0,OBSERVED,ZERO_IF_ABSENT,LOSS,2026-09-13T16:13:33.450638Z,2026-09-13T16:05:39.264Z,PARTIAL_PLAYER_COVERAGE,CONTAMINATED_QB3,
1PM,2026_01_NO_DET,Tyler Shough,NO,Rushing Attempts,,,,4.5,-105,-125,,,,,,,,,,,,2026-09-13T16:02:49.482Z,REFUSED,REFUSED,REFUSED:ESTIMAND_NOT_SCOREABLE | qb/rush_opp has no exact realised match
1PM,2026_01_NO_DET,Tyler Shough,NO,Rushing Yards,,,,19.5,-110,-120,,,,,,,,,,,,2026-09-13T16:05:49.495Z,REFUSED,REFUSED,REFUSED:ESTIMAND_NOT_SCOREABLE | qb/ryds has no exact realised match
1PM,2026_01_NYJ_TEN,Adonai Mitchell,NYJ,Receiving Yards,,,,33.5,-115,-115,,,,,,,,,,,,2026-09-13T16:06:04.356Z,REFUSED,REFUSED,REFUSED:QUOTE_PLAYER_NOT_ON_BOARD
1PM,2026_01_NYJ_TEN,Adonai Mitchell,NYJ,Receptions,,,,2.5,-125,-105,,,,,,,,,,,,2026-09-13T16:03:27.087Z,REFUSED,REFUSED,REFUSED:QUOTE_PLAYER_NOT_ON_BOARD
1PM,2026_01_NYJ_TEN,Braelon Allen,NYJ,Rushing Attempts,,,,4.5,-135,+110,,,,,,,,,,,,2026-09-13T16:05:50.678Z,REFUSED,REFUSED,REFUSED:QUOTE_PLAYER_NOT_ON_BOARD
1PM,2026_01_NYJ_TEN,Braelon Allen,NYJ,Rushing Yards,,,,19.5,-115,-115,,,,,,,,,,,,2026-09-13T16:05:50.678Z,REFUSED,REFUSED,REFUSED:QUOTE_PLAYER_NOT_ON_BOARD
1PM,2026_01_NYJ_TEN,Breece Hall,NYJ,Receiving Yards,,,,21.5,-110,-120,,,,,,,,,,,,2026-09-13T16:06:04.356Z,REFUSED,REFUSED,REFUSED:QUOTE_PLAYER_NOT_ON_BOARD
1PM,2026_01_NYJ_TEN,Breece Hall,NYJ,Receptions,,,,2.5,-140,+110,,,,,,,,,,,,2026-09-13T16:03:27.087Z,REFUSED,REFUSED,REFUSED:QUOTE_PLAYER_NOT_ON_BOARD
1PM,2026_01_NYJ_TEN,Breece Hall,NYJ,Rushing Attempts,,,,16.5,-105,-125,,,,,,,,,,,,2026-09-13T16:05:50.678Z,REFUSED,REFUSED,REFUSED:QUOTE_PLAYER_NOT_ON_BOARD
1PM,2026_01_NYJ_TEN,Breece Hall,NYJ,Rushing Yards,,,,64.5,-115,-115,,,,,,,,,,,,2026-09-13T16:05:50.678Z,REFUSED,REFUSED,REFUSED:QUOTE_PLAYER_NOT_ON_BOARD
1PM,2026_01_NYJ_TEN,Calvin Ridley,TEN,Receiving Yards,,,,27.5,-115,-115,,,,,,,,,,,,2026-09-13T16:06:04.356Z,REFUSED,REFUSED,REFUSED:QUOTE_PLAYER_NOT_ON_BOARD
1PM,2026_01_NYJ_TEN,Calvin Ridley,TEN,Receptions,,,,1.5,-165,+125,,,,,,,,,,,,2026-09-13T16:03:27.087Z,REFUSED,REFUSED,REFUSED:QUOTE_PLAYER_NOT_ON_BOARD
