season,game_id,team,starter,established_incumbent,team_dropbacks,starter_share,pid,dropbacks,share,classification,entry_qtr,entry_secs_remaining,margin_at_entry,starter_returned
2021,2021_07_DET_LA,DET,00-0033106,True,39,0.9744,00-0035156,1,0.0256,PLANNED_ROTATION_OR_PACKAGE,1.0,3361.0,7.0,True
2021,2021_08_PHI_DET,DET,00-0033106,True,40,0.975,00-0035040,1,0.025,BLOWOUT_RELIEF,4.0,96.0,38.0,False
2021,2021_16_DET_ATL,DET,00-0034177,False,35,0.9714,00-0035156,1,0.0286,PLANNED_ROTATION_OR_PACKAGE,2.0,2131.0,4.0,True
2021,2021_18_GB_DET,DET,00-0033106,False,33,0.9394,00-0035156,1,0.0303,PLANNED_ROTATION_OR_PACKAGE,1.0,2974.0,7.0,True
2021,2021_18_GB_DET,DET,00-0033106,False,33,0.9394,00-0035544,1,0.0303,PLANNED_ROTATION_OR_PACKAGE,1.0,2801.0,7.0,True
2022,2022_04_SEA_DET,DET,00-0033106,True,41,0.9756,00-0035156,1,0.0244,PLANNED_ROTATION_OR_PACKAGE,1.0,2887.0,8.0,True
2022,2022_17_CHI_DET,DET,00-0033106,True,31,0.9677,00-0032792,1,0.0323,BLOWOUT_RELIEF,4.0,170.0,28.0,False
2023,2023_08_LV_DET,DET,00-0033106,True,38,0.9737,00-0036963,1,0.0263,PLANNED_ROTATION_OR_PACKAGE,2.0,2338.0,6.0,True
2023,2023_17_DET_DAL,DET,00-0033106,True,36,0.9722,00-0033557,1,0.0278,PLANNED_ROTATION_OR_PACKAGE,2.0,2401.0,4.0,True
2024,2024_02_TB_DET,DET,00-0033106,True,56,0.9821,00-0035156,1,0.0179,PLANNED_ROTATION_OR_PACKAGE,2.0,2291.0,7.0,True
2024,2024_04_SEA_DET,DET,00-0033106,True,22,0.9545,00-0036963,1,0.0455,PLANNED_ROTATION_OR_PACKAGE,3.0,1323.0,7.0,True
2024,2024_06_DET_DAL,DET,00-0033106,True,30,0.9,00-0038550,3,0.1,BLOWOUT_RELIEF,4.0,482.0,38.0,False
2024,2024_08_TEN_DET,DET,00-0033106,True,23,0.8261,00-0035685,1,0.0435,PLANNED_ROTATION_OR_PACKAGE,2.0,1943.0,14.0,True
2024,2024_08_TEN_DET,DET,00-0033106,True,23,0.8261,00-0038550,3,0.1304,BLOWOUT_RELIEF,4.0,772.0,38.0,False
2024,2024_11_JAX_DET,DET,00-0033106,True,33,0.8788,00-0038550,4,0.1212,BLOWOUT_RELIEF,4.0,477.0,43.0,False
2024,2024_13_CHI_DET,DET,00-0033106,True,36,0.9722,00-0036880,1,0.0278,PLANNED_ROTATION_OR_PACKAGE,1.0,3302.0,0.0,True
2024,2024_20_WAS_DET,DET,00-0033106,True,45,0.9333,00-0031237,1,0.0222,PLANNED_ROTATION_OR_PACKAGE,2.0,2095.0,10.0,True
