snapshot_label,player,team,opponent,market,line,over_price,under_price,sportsbook,retrieval_time_utc,event_url
HARD_ROCK_PRE_INACTIVES,Malachi Fields,NYG,DAL,Receiving Yards,24.5,-115,-115,Hard Rock Bet,2026-09-13T21:18:32.257Z,https://app.hardrock.bet/competition/nfl/4913844650500030719?tab=player-props
HARD_ROCK_PRE_INACTIVES,Malik Nabers,NYG,DAL,Receiving Yards,57.5,-115,-115,Hard Rock Bet,2026-09-13T21:18:32.257Z,https://app.hardrock.bet/competition/nfl/4913844650500030719?tab=player-props
HARD_ROCK_PRE_INACTIVES,Odell Beckham Jr.,NYG,DAL,Receiving Yards,13.5,-115,-115,Hard Rock Bet,2026-09-13T21:18:32.257Z,https://app.hardrock.bet/competition/nfl/4913844650500030719?tab=player-props
HARD_ROCK_PRE_INACTIVES,Ryan Flournoy,DAL,NYG,Receiving Yards,25.5,-115,-115,Hard Rock Bet,2026-09-13T21:18:32.257Z,https://app.hardrock.bet/competition/nfl/4913844650500030719?tab=player-props
HARD_ROCK_PRE_INACTIVES,Theo Johnson,NYG,DAL,Receiving Yards,15.5,-115,-115,Hard Rock Bet,2026-09-13T21:18:32.257Z,https://app.hardrock.bet/competition/nfl/4913844650500030719?tab=player-props
HARD_ROCK_PRE_INACTIVES,Javonte Williams,DAL,NYG,Receptions,2.5,+135,-185,Hard Rock Bet,2026-09-13T21:18:45.343Z,https://app.hardrock.bet/competition/nfl/4913844650500030719?tab=player-props
HARD_ROCK_PRE_INACTIVES,Jake Ferguson,DAL,NYG,Receptions,3.5,-120,-110,Hard Rock Bet,2026-09-13T21:18:45.343Z,https://app.hardrock.bet/competition/nfl/4913844650500030719?tab=player-props
HARD_ROCK_PRE_INACTIVES,George Pickens,DAL,NYG,Receptions,4.5,-155,+120,Hard Rock Bet,2026-09-13T21:18:45.343Z,https://app.hardrock.bet/competition/nfl/4913844650500030719?tab=player-props
HARD_ROCK_PRE_INACTIVES,CeeDee Lamb,DAL,NYG,Receptions,5.5,-160,+120,Hard Rock Bet,2026-09-13T21:18:45.343Z,https://app.hardrock.bet/competition/nfl/4913844650500030719?tab=player-props
HARD_ROCK_PRE_INACTIVES,Ryan Flournoy,DAL,NYG,Receptions,2.5,+120,-155,Hard Rock Bet,2026-09-13T21:18:45.343Z,https://app.hardrock.bet/competition/nfl/4913844650500030719?tab=player-props
HARD_ROCK_PRE_INACTIVES,KaVontae Turpin,DAL,NYG,Receptions,1.5,+175,-250,Hard Rock Bet,2026-09-13T21:18:45.343Z,https://app.hardrock.bet/competition/nfl/4913844650500030719?tab=player-props
HARD_ROCK_PRE_INACTIVES,Odell Beckham Jr.,NYG,DAL,Receptions,1.5,+130,-170,Hard Rock Bet,2026-09-13T21:18:45.343Z,https://app.hardrock.bet/competition/nfl/4913844650500030719?tab=player-props
HARD_ROCK_PRE_INACTIVES,Cam Skattebo,NYG,DAL,Receptions,2.5,+110,-145,Hard Rock Bet,2026-09-13T21:18:45.343Z,https://app.hardrock.bet/competition/nfl/4913844650500030719?tab=player-props
HARD_ROCK_PRE_INACTIVES,Malachi Fields,NYG,DAL,Receptions,2.5,+125,-160,Hard Rock Bet,2026-09-13T21:18:45.343Z,https://app.hardrock.bet/competition/nfl/4913844650500030719?tab=player-props
HARD_ROCK_PRE_INACTIVES,Isaiah Likely,NYG,DAL,Receptions,3.5,-110,-120,Hard Rock Bet,2026-09-13T21:18:45.343Z,https://app.hardrock.bet/competition/nfl/4913844650500030719?tab=player-props
HARD_ROCK_PRE_INACTIVES,Malik Nabers,NYG,DAL,Receptions,4.5,-155,+120,Hard Rock Bet,2026-09-13T21:18:45.343Z,https://app.hardrock.bet/competition/nfl/4913844650500030719?tab=player-props
HARD_ROCK_PRE_INACTIVES,Darnell Mooney,NYG,DAL,Receptions,1.5,-125,-105,Hard Rock Bet,2026-09-13T21:18:45.343Z,https://app.hardrock.bet/competition/nfl/4913844650500030719?tab=player-props
HARD_ROCK_PRE_INACTIVES,Theo Johnson,NYG,DAL,Receptions,1.5,-120,-110,Hard Rock Bet,2026-09-13T21:18:45.343Z,https://app.hardrock.bet/competition/nfl/4913844650500030719?tab=player-props
